team,warner_score
"A&M-Corpus Christi",3074
"Abilene Christian",3750
"Academy of Art",3088
"Air Force",2818
"Akron",3827
"Alabama",2506
"Alabama A&M",3358
"Alabama St.",3786
"Albany St. (GA)",3908
"Albertus Magnus",2980
"Alcorn",3386
"Alice Lloyd",3812
"Allen",3627
"Alma",3421
"American",3774
"Anderson (IN)",3488
"Anderson (SC)",3910
"App State",3649
"Arcadia",3784
"Arizona",3841
"Arizona St.",3912
"Ark. Baptist",3522
"Ark.-Pine Bluff",3540
"Arkansas",3828
"Arkansas St.",3843
"Arlington Baptist",3705
"Army West Point",3811
"Auburn",3607
"Aurora",3737
"Austin Peay",3542
"Ave Maria",2636
"Averett",3602
"BYU",3899
"Baldwin Wallace",3690
"Ball St.",210
"Baylor",3349
"Belhaven",3882
"Bellarmine",3481
"Belmont",3680
"Benedictine Mesa",3775
"Bethel (TN)",3818
"Bethesda (CA)",3892
"Bethune-Cookman",3557
"Binghamton",3897
"Blackburn",3499
"Blue Mountain (MS)",3470
"Bluffton",3617
"Bob Jones",3750
"Boise St.",3091
"Boston College",3248
"Boston U.",3802
"Bowling Green",3884
"Boyce",3821
"Bradley",3041
"Brandeis",3513
"Brescia",3844
"Brevard",3867
"Brewton-Parker",3749
"Bridgewater (VA)",3596
"Brown",3882
"Bryan",3573
"Bryant",2959
"Bryn Athyn",3898
"Bucknell",3781
"Buffalo",236
"Bushnell",3792
"Butler",3549
"CMSV",3802
"CSU Bakersfield",3804
"CSUN",3729
"Cairn",3907
"Cal Maritime",3802
"Cal Poly",3034
"Cal St. East Bay",3885
"Cal St. Fullerton",3063
"Cal State LA",2564
"California",3025
"California Baptist",3781
"Calumet Col.",3492
"Calvary",3499
"Camp. Harrodsburg",3787
"Campbell",3857
"Canisius",3620
"Cardinal Stritch",3623
"Carlow",3589
"CarolinaU",3735
"Cazenovia",3866
"Centenary (LA)",3512
"Centenary (NJ)",3494
"Central Ark.",3488
"Central Baptist",3734
"Central Conn. St.",3643
"Central Mich.",3460
"Chaminade",2942
"Champion Chris.",3728
"Chapman",3697
"Charleston So.",3556
"Charlotte",2967
"Chattanooga",3560
"Chicago St.",3772
"Cincinnati",2985
"Clark (MA)",3849
"Clarks Summit",3905
"Clayton St.",3499
"Clemson",2570
"Cleveland St.",3922
"Clinton",3765
"Coast Guard",3912
"Coastal Carolina",3567
"Coastal Ga.",3853
"Col. of Charleston",3570
"Colby-Sawyer",3638
"Colgate",235
"Colo. Christian",3699
"Colorado",3002
"Colorado Col.",3455
"Colorado St.",3906
"Columbia",3779
"Columbia Int'l",3765
"Concord",3801
"Coppin St.",3404
"Cornell",3934
"Covenant",3526
"Creighton",2042
"Crowley's Ridge",3526
"Crown (MN)",3530
"D'Youville",3763
"Dakota St.",3368
"Dallas Christian",3733
"Dartmouth",3578
"Davidson",3589
"Davis & Elkins",3826
"Dayton",3428
"DePaul",3789
"Dean",3658
"Defiance",3379
"Delaware",239
"Delaware St.",231
"Denver",3477
"Detroit Mercy",607
"Dillard",3673
"Dist. Columbia",3712
"Drake",3325
"Drexel",3824
"Duke",3476
"Duquesne",3826
"ETSU",3556
"Earlham",140
"East Carolina",3419
"East-West U.",3752
"Eastern Ill.",3549
"Eastern Ky.",3882
"Eastern Mich.",3811
"Eastern Nazarene",3853
"Eastern Ore.",3828
"Eastern Wash.",3788
"Ecclesia",3486
"Edward Waters",3902
"Elon",3641
"Emerson",3454
"Emory & Henry",3534
"Erskine",3616
"Eureka",2410
"Evansville",3460
"Evergreen St.",3213
"FDU-Florham",3259
"FGCU",2680
"FIU",3799
"Fairfield",3953
"Fairleigh Dickinson",3543
"Fairmont St.",3865
"Fisher",3441
"Fisk",3584
"Fla. Atlantic",1685
"Fla. National",3778
"Florida",3194
"Florida A&M",3913
"Florida Col.",3794
"Florida St.",3792
"Fordham",3568
"Framingham St.",2905
"Franciscan",3416
"Franklin",3662
"Fredonia",3574
"Fresno Pacific",3594
"Fresno St.",3607
"Furman",3560
"Ga. Southern",3605
"Ga. Southwestern",3506
"Gallaudet",3836
"Gardner-Webb",3811
"George Mason",3958
"George Washington",3048
"Georgetown",3532
"Georgia",3813
"Georgia College",3784
"Georgia St.",1518
"Georgia Tech",3529
"Georgian Court",237
"Glenville St.",3826
"Gonzaga",3906
"Goshen",3485
"Goucher",3752
"Grace Christian (MI)",3649
"Grambling",3519
"Grand Canyon",3354
"Green Bay",3194
"Greensboro",3520
"Guilford",3566
"Gwynedd Mercy",3935
"Hampton",3536
"Hardin-Simmons",3758
"Harding",3812
"Harris-Stowe",3661
"Hartford",3296
"Harvard",3706
"Hawaii",3523
"Hawaii Pacific",3499
"Hendrix",3437
"High Point",3023
"Hofstra",3185
"Holy Cross",3672
"Holy Names",3773
"Houghton",3230
"Houston",3337
"Houston Christian",3658
"Howard",3725
"Howard Payne",3741
"Huston-Tillotson",3720
"IIT",3674
"IUPUI",3676
"Idaho",3882
"Idaho St.",3568
"Ill. Springfield",3146
"Illinois",3776
"Illinois St.",3786
"Immaculata",3380
"Ind.-South Bend",196
"Indiana",3821
"Indiana St.",3130
"Iona",3638
"Iowa",3455
"Iowa St.",3365
"Iowa Wesleyan",2428
"Ithaca",3912
"JWU (Charlotte)",3609
"JWU (Providence)",3757
"Jackson St.",3914
"Jacksonville",3619
"Jacksonville St.",3511
"James Madison",3899
"Jarvis Christian",3622
"John Brown",3553
"John Jay",3029
"Johnson (FL)",3568
"Johnson (TN)",3510
"Kansas",3034
"Kansas Christian",3488
"Kansas City",3558
"Kansas St.",3567
"Kean",3923
"Kennesaw St.",3808
"Kent St.",3711
"Kentucky",3757
"Kentucky St.",3763
"Keystone",3766
"Ky. Christian",3781
"LIFE Pacific",3751
"LIU",3863
"LMU (CA)",3535
"LSU",2996
"LSU-Alexandria",3360
"La Salle",3392
"La Sierra",3763
